"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14565","TC04 - Transfer Page Visibility","chromium","2026-05-27","passed","2026-05-27","Transfer Funds Module","transferFunds\transferFunds.spec.js","",""
"","11305","TC06 - Verify Dynamic Balance Validation","chromium","2026-05-27","passed","2026-05-27","Accounts Overview Module","accountOverview\accountOverview.spec.js","",""
"","9039","TC13 - Workflow Validation","chromium","2026-05-27","passed","2026-05-27","Bill Pay Module","billPay\billPay.spec.js","",""
"","9682","TC10 - Session Persistence Validation","chromium","2026-05-27","passed","2026-05-27","Bill Pay Module","billPay\billPay.spec.js","",""
"","11066","TC01 - Valid Loan Request","chromium","2026-05-27","passed","2026-05-27","Loan Request Module","loanRequest\loanRequest.spec.js","",""
"","9129","TC11 - Verify Unauthorized Access","chromium","2026-05-27","passed","2026-05-27","Accounts Overview Module","accountOverview\accountOverview.spec.js","",""
"","12098","TC11 - Date Field Visibility","chromium","2026-05-27","passed","2026-05-27","Find Transactions Module","findTransaction\findTransactions.spec.js","",""
"","3579","TC09 - Long Input Validation","chromium","2026-05-27","passed","2026-05-27","Registration Module","registration\registration.spec.js","",""
"","60133","TC01 - Search By Valid Transaction ID","chromium","2026-05-26","broken","2026-05-26","Find Transactions Module","findTransaction\findTransaction.spec.js","",""
"","8063","TC06 - Loan Request Page Visibility","chromium","2026-05-27","passed","2026-05-27","Loan Request Module","loanRequest\loanRequest.spec.js","",""
"","3","TC14 - Unauthorized Access Validation","chromium","2026-05-26","failed","2026-05-26","Find Transactions Module","findTransaction\findTransaction.spec.js","",""
"","11384","TC11 - Unauthorized Access Validation","chromium","2026-05-27","passed","2026-05-27","Bill Pay Module","billPay\billPay.spec.js","",""
"","13744","TC02 - Verify Account Balance Visible","chromium","2026-05-27","passed","2026-05-27","Accounts Overview Module","accountOverview\accountOverview.spec.js","",""
"","6297","TC05 - Invalid Phone Validation","chromium","2026-05-27","passed","2026-05-27","Registration Module","registration\registration.spec.js","",""
"","11172","TC04 - Verify Multiple Accounts Display","chromium","2026-05-27","passed","2026-05-27","Accounts Overview Module","accountOverview\accountOverview.spec.js","",""
"","11975","TC07 - Empty Transaction Search","chromium","2026-05-27","passed","2026-05-27","Find Transactions Module","findTransaction\findTransactions.spec.js","",""
"","14748","TC09 - Browser Back Validation","chromium","2026-05-27","passed","2026-05-27","","authentication\authentication.spec.js","",""
"","12070","TC05 - Session Validation","chromium","2026-05-27","passed","2026-05-27","","authentication\authentication.spec.js","",""
"","7542","TC03 - Account Type Dropdown Validation","chromium","2026-05-27","passed","2026-05-27","Open Account Module","openAccount\openAccount.spec.js","",""
"","9228","TC01 - Valid Login","chromium","2026-05-27","passed","2026-05-27","","authentication\authentication.spec.js","",""
"","12902","TC07 - To Account","chromium","2026-05-27","passed","2026-05-27","Transfer Funds Module","transferFunds\transferFunds.spec.js","",""
"","8740","TC14 - Bill Pay URL Validation","chromium","2026-05-27","passed","2026-05-27","Bill Pay Module","billPay\billPay.spec.js","",""
"","10410","TC08 - Verify Transaction Link Visibility","chromium","2026-05-27","passed","2026-05-27","Accounts Overview Module","accountOverview\accountOverview.spec.js","",""
"","6686","TC12 - Current Account Synchronization","chromium","2026-05-27","passed","2026-05-27","Open Account Module","openAccount\openAccount.spec.js","",""
"","8282","TC13 - Duplicate Phone Number Validation","chromium","2026-05-27","passed","2026-05-27","Registration Module","registration\registration.spec.js","",""
"","5","TC13 - Session Persistence Validation","chromium","2026-05-26","failed","2026-05-26","Find Transactions Module","findTransaction\findTransaction.spec.js","",""
"","12099","TC14 - Verify UI Elements","chromium","2026-05-27","passed","2026-05-27","Accounts Overview Module","accountOverview\accountOverview.spec.js","",""
"","6960","TC05 - Search By Amount","chromium","2026-05-27","passed","2026-05-27","Find Transactions Module","findTransaction\findTransactions.spec.js","",""
"","10132","TC15 - Multiple Bill Payments","chromium","2026-05-27","passed","2026-05-27","Bill Pay Module","billPay\billPay.spec.js","",""
"","13017","TC15 - Multiple Transfer Execution","chromium","2026-05-27","passed","2026-05-27","Transfer Funds Module","transferFunds\transferFunds.spec.js","",""
"","10065","TC08 - Down Payment Field Visibility","chromium","2026-05-27","passed","2026-05-27","Loan Request Module","loanRequest\loanRequest.spec.js","",""
"","14960","TC06 - From Account","chromium","2026-05-27","passed","2026-05-27","Transfer Funds Module","transferFunds\transferFunds.spec.js","",""
"","8931","TC02 - Duplicate Username","chromium","2026-05-27","passed","2026-05-27","Registration Module","registration\registration.spec.js","",""
"","10320","TC05 - Account Number","chromium","2026-05-27","passed","2026-05-27","Bill Pay Module","billPay\billPay.spec.js","",""
"","9572","TC02 - Invalid Loan Amount","chromium","2026-05-27","passed","2026-05-27","Loan Request Module","loanRequest\loanRequest.spec.js","",""
"","4","TC12 - Find Transaction Button Visibility","chromium","2026-05-26","failed","2026-05-26","Find Transactions Module","findTransaction\findTransaction.spec.js","",""
"","10106","TC15 - UI Validation","chromium","2026-05-27","passed","2026-05-27","Find Transactions Module","findTransaction\findTransactions.spec.js","",""
