"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120057","TC03 - Empty Amount Validation","chromium","2026-06-04","broken","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","1548","TC06 - Invalid ZIP Code","chromium","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","4686","TC01 - Valid Fund Transfer","webkit","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","7453","TC14 - Page Refresh Validation","firefox","2026-06-04","passed","2026-06-04","Transfer Funds Module","transferFunds/transferFunds.spec.js","",""
"","3462","TC06 - Bill Pay Page Visibility","webkit","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3944","TC10 - Verify Session Persistence","firefox","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","7573","TC11 - Date Field Visibility","firefox","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","120206","TC12 - Unauthorized Access Validation","webkit","2026-06-04","broken","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","120057","TC13 - Verify Balance Format","chromium","2026-06-04","broken","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","1044","TC02 - Invalid Login","webkit","2026-06-04","passed","2026-06-04","","authentication/authentication.spec.js","",""
"","4847","TC17 - Verify Find Transactions Page Title","webkit","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","622","TC15 - Registration Form Reset Validation","chromium","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
"","4859","TC12 - UI Validation","firefox","2026-06-04","passed","2026-06-04","Bill Pay Module","billPay/billPay.spec.js","",""
"","3962","TC04 - Invalid Down Payment","webkit","2026-06-04","passed","2026-06-04","Loan Request Module","loanRequest/loanRequest.spec.js","",""
"","3469","TC04 - Verify Multiple Accounts Display","webkit","2026-06-04","passed","2026-06-04","Accounts Overview Module","accountOverview/accountOverview.spec.js","",""
"","4883","TC04 - Invalid Date Format","webkit","2026-06-04","passed","2026-06-04","Find Transactions Module","findTransactions/findTransactions.spec.js","",""
"","2082","TC05 - Invalid Phone Validation","webkit","2026-06-04","passed","2026-06-04","Registration Module","registration/registration.spec.js","",""
